Year,GrandTotal,Total,Coal,Natural Gas,Nuclear,Renewables,Other,Pct_Coal,Pct_NaturalGas,Pct_Nuclear,Pct_Renewables,Pct_Other,Wind,Solar,Hydroelectric,Biomass,Geothermal,Pct_Wind,Pct_Solar,Pct_Hydroelectric,Pct_Biomass,Pct_Geothermal,PctRenewables_Wind,PctRenewables_Solar,PctRenewables_Hydroelectric,PctRenewables_Biomass,PctRenewables_Geothermal
1949,296124.289,296124,135451,36966.709,0,94772.992,28933.268,45.7%,12.5%,0.0%,32.0%,9.8%,0,0,94772.992,0,0,0.0%,0.0%,32.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%
1950,334087.601,334088,154520,44559.159,0,100884.575,34123.873,46.3%,13.3%,0.0%,30.2%,10.2%,0,0,100884.575,0,0,0.0%,0.0%,30.2%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%
1951,375298.355,375298,185204,56615.678,0,104376.12,29102.9,49.3%,15.1%,0.0%,27.8%,7.8%,0,0,104376.12,0,0,0.0%,0.0%,27.8%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%
1952,403829.413,403829,195437,68453.088,0,109708.251,30231.408,48.4%,17.0%,0.0%,27.2%,7.5%,0,0,109708.251,0,0,0.0%,0.0%,27.2%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%
1953,447048.563,447049,218846,79790.975,0,109617.396,38793.867,49.0%,17.8%,0.0%,24.5%,8.7%,0,0,109617.396,0,0,0.0%,0.0%,24.5%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%
1954,476257.618,476258,239146,93688.271,0,111639.772,31783.609,50.2%,19.7%,0.0%,23.4%,6.7%,0,0,111639.772,0,0,0.0%,0.0%,23.4%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%
1955,550298.862,550299,301363,95285.441,0,116235.946,37414.777,54.8%,17.3%,0.0%,21.1%,6.8%,0,0,116235.946,0,0,0.0%,0.0%,21.1%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%
1956,603875.763,603876,338503,104037.208,0,125236.621,36098.45,56.1%,17.2%,0.0%,20.7%,6.0%,0,0,125236.621,0,0,0.0%,0.0%,20.7%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%
1957,634642.367,634642,346386,114212.525,9.67,133357.93,40676.035,54.6%,18.0%,0.0%,21.0%,6.4%,0,0,133357.93,0,0,0.0%,0.0%,21.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%
1958,648450.862,648451,344366,119759.302,164.691,143614.545,40546.543,53.1%,18.5%,0.0%,22.1%,6.3%,0,0,143614.545,0,0,0.0%,0.0%,22.1%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%
